code,id,market,flag
688050,1,SH,True
688049,1,SH,True
688048,1,SH,True
688047,1,SH,True
688046,1,SH,True
688045,1,SH,True
688041,1,SH,True
688039,1,SH,True
688038,1,SH,True
688037,1,SH,True
688036,1,SH,True
688035,1,SH,True
688033,1,SH,True
688032,1,SH,True
688031,1,SH,True
688030,1,SH,True
688029,1,SH,True
688028,1,SH,True
688027,1,SH,True
688026,1,SH,True
688025,1,SH,True
688023,1,SH,True
688022,1,SH,True
688021,1,SH,True
688020,1,SH,True
688019,1,SH,True
688018,1,SH,True
688017,1,SH,True
688016,1,SH,True
688015,1,SH,True
688013,1,SH,True
688012,1,SH,True
688011,1,SH,True
688010,1,SH,True
688009,1,SH,True
688008,1,SH,True
688007,1,SH,True
688006,1,SH,True
688005,1,SH,True
688004,1,SH,True
688003,1,SH,True
688002,1,SH,True
688001,1,SH,True
605599,1,SH,True
605598,1,SH,True
605589,1,SH,True
605588,1,SH,True
605580,1,SH,True
605577,1,SH,True
605567,1,SH,True
605566,1,SH,True
605555,1,SH,True
605507,1,SH,True
605500,1,SH,True
605499,1,SH,True
605488,1,SH,True
605399,1,SH,True
605398,1,SH,True
605389,1,SH,True
605388,1,SH,True
605378,1,SH,True
605377,1,SH,True
605376,1,SH,True
605369,1,SH,True
605368,1,SH,True
605366,1,SH,True
605365,1,SH,True
605358,1,SH,True
605339,1,SH,True
605338,1,SH,True
605337,1,SH,True
605336,1,SH,True
605333,1,SH,True
605319,1,SH,True
605318,1,SH,True
605305,1,SH,True
605303,1,SH,True
605300,1,SH,True
605299,1,SH,True
605298,1,SH,True
605296,1,SH,True
605289,1,SH,True
605288,1,SH,True
605287,1,SH,True
605286,1,SH,True
605277,1,SH,True
605268,1,SH,True
605266,1,SH,True
605259,1,SH,True
605258,1,SH,True
605255,1,SH,True
605228,1,SH,True
605222,1,SH,True
605218,1,SH,True
605208,1,SH,True
605199,1,SH,True
605198,1,SH,True
605196,1,SH,True
605189,1,SH,True
605188,1,SH,True
605186,1,SH,True
605183,1,SH,True
605180,1,SH,True
605179,1,SH,True
605178,1,SH,True
605177,1,SH,True
605169,1,SH,True
605168,1,SH,True
605167,1,SH,True
605166,1,SH,True
605162,1,SH,True
605158,1,SH,True
605155,1,SH,True
605151,1,SH,True
605138,1,SH,True
605136,1,SH,True
605133,1,SH,True
605128,1,SH,True
605123,1,SH,True
605122,1,SH,True
605118,1,SH,True
605117,1,SH,True
605116,1,SH,True
605111,1,SH,True
605108,1,SH,True
605100,1,SH,True
605099,1,SH,True
605098,1,SH,True
605090,1,SH,True
605089,1,SH,True
605088,1,SH,True
605086,1,SH,True
605081,1,SH,True
605080,1,SH,True
605077,1,SH,True
605069,1,SH,True
605068,1,SH,True
605066,1,SH,True
605060,1,SH,True
605058,1,SH,True
605056,1,SH,True
605055,1,SH,True
605050,1,SH,True
605033,1,SH,True
605028,1,SH,True
605020,1,SH,True
605018,1,SH,True
605016,1,SH,True
605011,1,SH,True
605009,1,SH,True
605008,1,SH,True
605007,1,SH,True
605006,1,SH,True
605005,1,SH,True
605003,1,SH,True
605001,1,SH,True
603999,1,SH,True
603998,1,SH,True
603997,1,SH,True
603996,1,SH,True
603995,1,SH,True
603993,1,SH,True
603992,1,SH,True
603991,1,SH,True
603990,1,SH,True
603989,1,SH,True
603988,1,SH,True
603987,1,SH,True
603986,1,SH,True
603985,1,SH,True
603983,1,SH,True
603982,1,SH,True
603980,1,SH,True
603979,1,SH,True
603978,1,SH,True
603977,1,SH,True
603976,1,SH,True
603970,1,SH,True
603969,1,SH,True
603968,1,SH,True
603967,1,SH,True
603966,1,SH,True
603963,1,SH,True
603960,1,SH,True
603959,1,SH,True
603958,1,SH,True
603956,1,SH,True
603955,1,SH,True
603950,1,SH,True
603949,1,SH,True
603948,1,SH,True
603939,1,SH,True
603938,1,SH,True
603937,1,SH,True
603936,1,SH,True
603933,1,SH,True
603931,1,SH,True
603929,1,SH,True
603928,1,SH,True
603927,1,SH,True
603926,1,SH,True
603922,1,SH,True
603920,1,SH,True
603919,1,SH,True
603918,1,SH,True
603917,1,SH,True
603916,1,SH,True
603915,1,SH,True
603912,1,SH,True
603909,1,SH,True
603908,1,SH,True
603906,1,SH,True
603903,1,SH,True
603901,1,SH,True
603900,1,SH,True
603899,1,SH,True
603898,1,SH,True
603897,1,SH,True
603896,1,SH,True
603895,1,SH,True
603893,1,SH,True
603890,1,SH,True
603889,1,SH,True
603888,1,SH,True
603887,1,SH,True
603886,1,SH,True
603885,1,SH,True
603883,1,SH,True
603882,1,SH,True
603881,1,SH,True
603880,1,SH,True
603879,1,SH,True
603878,1,SH,True
603877,1,SH,True
603876,1,SH,True
603871,1,SH,True
603869,1,SH,True
603868,1,SH,True
603867,1,SH,True
603866,1,SH,True
603863,1,SH,True
603861,1,SH,True
603860,1,SH,True
603859,1,SH,True
603858,1,SH,True
603856,1,SH,True
603855,1,SH,True
